external_id,match_score,candidate_name,match_person_full_name,smd_id,match_person_smd_id,match_person_id,good_match
07e423d66e278220e0c86175ef65318e1e2af7047f756c8c8cf0676f,92,Andrea Davis,Andrew Davis,smd_2022_8A03,smd_2022_3D04,11698,0
c4e2977d6a8987520c61cc6dfb0ab42a468f5a14f963e7b9bcb4e611,92,Chuch Elkins,Chuck Elkins,smd_2022_3D01,smd_2022_3D01,10086,1
f30dd714ea45ca764584605c3f1b951aa9535a9946dc7641b9135b79,90,Antoine Kirby,Antoine M. Kirby,smd_2022_4C02,smd_2022_4C02,11383,1
cdcb754fbd4e3fab6f5fe1d1226d0eb4896ecdb629296d5237ec4e04,90,Dev Myers,Devon Myers,smd_2022_7D10,smd_2022_7F07,11398,1
7649ea45e3e3c0a0381ba493bc2502b220f8869b3c84e9a710182fdf,90,Luke Z. Chadwick,Luke Chadwick,smd_2022_2A05,smd_2022_2A05,11710,1
f8f50f1888948fb684e9514275678cb00686d985163402228be45ab5,90,Brian Turmail,Brian G. Turmail,smd_2022_3B02,smd_3B05,10077,1
39b25aef8843c35a2c310cebe7d80e883331dbdd14c656fa179e1105,90,Yolanda Y. Fields,Yolanda Fields,smd_2022_7C02,smd_7C02,10243,1
5728e3bc8930fd7bd0e75ba0aa3b6c8beacd6ac20a495a9eb1cf8b58,89,Kirby R. Vining,Kirby Vining,smd_2022_5E06,smd_2022_5E06,10375,1
4de744b9b29e199600d0e64ac8a1d8ebe677a0fdfea650fa7795115a,89,Billy Easley Ii,Billy Easley,smd_2022_1A10,smd_2022_1A10,11461,1
372b9fa8fa84a0e721ba6e2ffd7180fcb96e3c14729b1095ec4888e5,88,"Thomas Williams, Jr",Thomas Von Williams Jr.,smd_2022_8B03,smd_2022_8B03,11684,1
f93581637f31d10fbf1b738ec84b0708149a433f57d946db5be5886f,87,Zach Adams,Zachary Adams,smd_2022_2B08,smd_2022_2B08,11365,1
0d9378cce76e35c8fc94286b92eae9c8b65f3f10c7b1b60f19316d11,87,Karen J. Wirt,Karen Wirt,smd_2022_6C02,smd_6C02,10199,1
96ebbc61007b8d08fd4b592b4e932f604566323043e77a60c44da5ae,86,Tosha Crawford,Tonya Crawford,smd_2022_5B07,smd_2022_8A01,11430,1
