election_year,smd_id,external_id,candidate_name,votes,vote_share,ranking,winner,write_in_winner,margin_of_victory,margin_of_victory_percentage,num_candidates,total_votes
2022,smd_2022_7B09,659ba85689b42b5a4966e580b58f6e87b12862c018411335a5c88452,Michelle Hammond,143,0.556420233463035,1.0,True,False,80.0,0.311284046692607,4,257
2022,smd_2022_7B09,9d2f932a2e038fc61f520735e1b303ed7b5807a7478768a25c7670be,Pauline B. Scott,63,0.245136186770428,2.0,False,False,-80,-0.311284046692607,4,257
2022,smd_2022_7B09,dd002c16869dbda98f4c26ee5e64a8d2082b2b4316513130bd42fea5,Racquel Codling,42,0.16342412451361868,3.0,False,False,-101,-0.3929961089494164,4,257
2022,smd_2022_7B09,,Write-in,9,0.03501945525291829,4.0,False,False,-134,-0.5214007782101168,4,257
2022,smd_2022_7C01,d4206c00acffeb2ca0d28aa1316d3fc4e5f1dda94ff5bcd60a381069,Brian A. Glover,253,0.92,1.0,True,False,231.0,0.8400000000000001,2,275
2022,smd_2022_7C01,,Write-in,22,0.08,2.0,False,False,-231,-0.8400000000000001,2,275
2022,smd_2022_7C02,83f94487893ab42353d33a759254a17124106f1c9a3e14fe72246503,Patricia Williams,342,0.9606741573033708,1.0,True,False,328.0,0.9213483146067416,2,356
2022,smd_2022_7C02,,Write-in,14,0.03932584269662921,2.0,False,False,-328,-0.9213483146067416,2,356
2022,smd_2022_7C03,,Write-in,109,1.0,1.0,True,True,0,0.0,1,109
2022,smd_2022_7C04,cca02dff0ab960320376773aba8e11d8071161aecbf4abd14b971ca6,Anthony Lorenzo Green,409,0.9380733944954128,1.0,True,False,382.0,0.8761467889908257,2,436
2022,smd_2022_7C04,,Write-in,27,0.06192660550458716,2.0,False,False,-382,-0.8761467889908257,2,436
2022,smd_2022_7C05,1004c264e49d4f500f9800edef7c8462df6ba610027caf06965ae90b,Shirley A. Boykins,137,0.3477157360406091,1.0,True,False,5.0,0.012690355329949221,4,394
2022,smd_2022_7C05,14aa7fc52dfb6f9eb240f672185585e9fc01616fb909030788a9b9d9,Mary L. Gaffney,132,0.3350253807106599,2.0,False,False,-5,-0.012690355329949221,4,394
2022,smd_2022_7C05,f0f70128a59d174e1b48c2ec7ecbfa9a124ffd611df981a0db393d19,Malik M. Lloyd,112,0.28426395939086296,3.0,False,False,-25,-0.06345177664974616,4,394
2022,smd_2022_7C05,,Write-in,13,0.03299492385786802,4.0,False,False,-124,-0.3147208121827411,4,394
2022,smd_2022_7C06,,Write-in,147,1.0,1.0,True,True,0,0.0,1,147
2022,smd_2022_7C07,71b53b380630ddf2508889300cabccc3f850c3ad7e75175289f9c00a,Antawan Holmes,280,0.546875,1.0,True,False,53.0,0.103515625,3,512
2022,smd_2022_7C07,eb59525e47308fd9ffd1c0d17126eae73c1bb509a93fe8356bd9cbd5,Dorothy Douglas,227,0.443359375,2.0,False,False,-53,-0.103515625,3,512
2022,smd_2022_7C07,,Write-in,5,0.009765625,3.0,False,False,-275,-0.537109375,3,512
2022,smd_2022_7C08,9b810aaf102f03091377c7a6781c6168960aaaef7e3563d750d720b8,Kimberly Martin,407,0.8027613412228797,1.0,True,False,311.0,0.6134122287968442,3,507
2022,smd_2022_7C08,19f5f16ba6392eb59d70c1d743f16ddb62c35af4dd4c7aab707601d5,David Ford,96,0.1893491124260355,2.0,False,False,-311,-0.6134122287968442,3,507
2022,smd_2022_7C08,,Write-in,4,0.007889546351084813,3.0,False,False,-403,-0.7948717948717948,3,507
2022,smd_2022_7C09,bf5002b78106827c1435abf60485b5d3d21edaf487205dca640faaa0,Carrie N. Brown,228,0.5816326530612245,1.0,True,False,78.0,0.1989795918367347,3,392
2022,smd_2022_7C09,82296f9a9da4b3876ad137dfc3259c4307a5b3d03c7992c31d9d2e0e,Venola Rolle,150,0.3826530612244898,2.0,False,False,-78,-0.1989795918367347,3,392
2022,smd_2022_7C09,,Write-in,14,0.03571428571428571,3.0,False,False,-214,-0.5459183673469388,3,392
2022,smd_2022_7D01,3716d4f58c75ba5a2444811755ce85c27fd34d46e2302adc2cc3af3c,Siraaj Hasan,335,0.9598853868194842,1.0,True,False,321.0,0.9197707736389684,2,349
