smd_id,lon,lat,smd
smd_3C02,-77.05644533384009,38.92508255832716,3C02
smd_3C03,-77.05672123740803,38.92916458075729,3C03
smd_3C04,-77.0535039064914,38.93576568574887,3C04
smd_3C05,-77.06471944603362,38.9370198623097,3C05
smd_3C06,-77.0769596066427,38.93747791556572,3C06
smd_3C07,-77.07518140275293,38.93111167762479,3C07
smd_3C08,-77.06611227452503,38.92480257085191,3C08
smd_3C09,-77.07019552518312,38.933740611966584,3C09
smd_3D01,-77.0892916977229,38.92807101415033,3D01
smd_3D02,-77.09474382453956,38.93754054503643,3D02
smd_3D03,-77.10286130283814,38.940124156472976,3D03
smd_3D04,-77.11109185549896,38.93134285150981,3D04
smd_3D05,-77.10130036612591,38.922120979248305,3D05
smd_3D06,-77.0903118320706,38.917142552566034,3D06
smd_3D07,-77.08921644459966,38.93726573789424,3D07
smd_3D08,-77.08316759155244,38.93160567185084,3D08
smd_3D09,-77.09386246439728,38.9098517362018,3D09
smd_3D10,-77.08224354560512,38.93861341215637,3D10
smd_3E01,-77.07961996460077,38.948140459950395,3E01
smd_3E02,-77.09546570152517,38.94878132901676,3E02
smd_3E03,-77.08563541929553,38.95436274578448,3E03
smd_3E04,-77.07875815820056,38.956462837486455,3E04
smd_3E05,-77.08441560145206,38.943817318590845,3E05
smd_3F01,-77.0686897218786,38.94244385109785,3F01
smd_3F02,-77.05913519217188,38.94377360030832,3F02
smd_3F03,-77.05393997662382,38.953099363297824,3F03
smd_3F04,-77.065292899802,38.949589086666066,3F04
smd_3F05,-77.0673906486745,38.958758431804824,3F05
smd_3F06,-77.070663932543,38.949104888984365,3F06
smd_3F07,-77.05556661581971,38.94156100498774,3F07
smd_3G01,-77.04778313199846,38.97993228946841,3G01
smd_3G02,-77.05183833385371,38.96961386827036,3G02
smd_3G03,-77.06165871592322,38.96149734271903,3G03
smd_3G04,-77.06612875978068,38.96899819117026,3G04
smd_3G05,-77.07188693032786,38.965806859629105,3G05
smd_3G06,-77.07667043927272,38.96320771831988,3G06
smd_3G07,-77.07335950317407,38.95848690139886,3G07
smd_4A01,-77.04089897310432,38.985386353101404,4A01
smd_4A02,-77.03186733970809,38.983764206254314,4A02
smd_4A03,-77.03140149623125,38.97401539295817,4A03
smd_4A04,-77.0309127873428,38.96765207543156,4A04
smd_4A05,-77.03442337024265,38.964895729685864,4A05
smd_4A06,-77.03057025389984,38.961692379713895,4A06
smd_4A07,-77.03946800757016,38.964034473611626,4A07
smd_4A08,-77.04427011587988,38.94265137817489,4A08
smd_4B01,-77.02239842577583,38.978091416374724,4B01
smd_4B02,-77.02239524924667,38.972501753571926,4B02
smd_4B03,-77.02024789092795,38.967446024687874,4B03
smd_4B04,-77.02316086956866,38.96287091557746,4B04
smd_4B05,-77.02312790988003,38.95904245667335,4B05
smd_4B06,-77.01353981541065,38.96228316289252,4B06
smd_4B07,-77.0103309283478,38.968488908683184,4B07
smd_4B08,-77.00585632368514,38.95926385370315,4B08
smd_4B09,-76.99729387554075,38.95929048306766,4B09
smd_4C01,-77.0301170868463,38.956501019697185,4C01
smd_4C02,-77.03236971848138,38.95085196772991,4C02
smd_4C03,-77.03324825668818,38.945071849822355,4C03
smd_4C04,-77.03458914931403,38.93948390787631,4C04
smd_4C05,-77.0302193792264,38.94149975107208,4C05
smd_4C06,-77.02701355894317,38.93782782386115,4C06
smd_4C07,-77.02342012056177,38.94347120578208,4C07
smd_4C08,-77.02170663268122,38.93927564016201,4C08
smd_4C09,-77.01801845511864,38.946066936532695,4C09
smd_4C10,-77.01618636172047,38.9414667394034,4C10
smd_4D01,-77.02613507054204,38.95613130868148,4D01
smd_4D02,-77.01526788149076,38.954819233105404,4D02
smd_4D03,-77.019022972573,38.95254754763976,4D03
smd_4D04,-77.02466356950933,38.95238557972383,4D04
smd_4D05,-77.01235239264876,38.94901032042865,4D05
smd_4D06,-77.02338923033362,38.94840819298221,4D06
smd_5A01,-76.99382974488842,38.95504958588149,5A01
smd_5A02,-76.98801417468205,38.94948450634909,5A02
smd_5A03,-76.99160751520242,38.945741633441614,5A03
smd_5A04,-77.00051799770179,38.93893953765895,5A04
smd_5A05,-77.01084301972566,38.93564759980572,5A05
smd_5A06,-77.00541764882338,38.94176078817344,5A06
smd_5A07,-77.00528704818366,38.95060568926663,5A07
smd_5A08,-76.99892588921581,38.95087288807534,5A08
smd_5B01,-76.97707352000397,38.94223390846909,5B01
smd_5B02,-76.98406594895962,38.937478629200456,5B02
smd_5B03,-76.9834062127752,38.929465435510906,5B03
smd_5B04,-76.99147963144237,38.92732985254151,5B04
smd_5B05,-76.99158859684792,38.93836522105316,5B05
smd_5C01,-76.96948872033295,38.93420601337621,5C01
smd_5C02,-76.96829489423114,38.92590267477644,5C02
smd_5C03,-76.95351299933918,38.923857183814974,5C03
smd_5C04,-76.96475149980802,38.91533815729348,5C04
smd_5C05,-76.9907495117403,38.91759488801577,5C05
smd_5C06,-76.98204937044102,38.92286264289518,5C06
smd_5C07,-76.97437258069037,38.92797142761275,5C07
smd_5D01,-76.99064442256426,38.91061641442718,5D01
smd_5D02,-76.98369103712879,38.907660553313235,5D02
smd_5D03,-76.97954574629608,38.90397226823643,5D03
smd_5D04,-76.96724274931964,38.90135921092727,5D04
smd_5D05,-76.97590932436017,38.901386451591414,5D05
smd_5D06,-76.98721548375867,38.90323325649904,5D06
smd_5D07,-76.98518995136388,38.905235020098814,5D07
smd_5E01,-76.99893455474744,38.92873543093337,5E01
smd_5E02,-76.99765873759287,38.922677431360114,5E02
smd_5E03,-77.0016035590709,38.91530799928327,5E03
smd_5E04,-77.006722040401,38.912889911056915,5E04
smd_5E05,-77.01275611544118,38.909111550203555,5E05
smd_5E06,-77.01343177776575,38.912611855190185,5E06
smd_5E07,-77.011773672186,38.91517828488409,5E07
smd_5E08,-77.01195951286124,38.91862272119303,5E08
smd_5E09,-77.01036269945318,38.92404280713379,5E09
smd_5E10,-77.00271016086872,38.92172524365698,5E10
smd_6A01,-76.99324387292594,38.90183999470665,6A01
smd_6A02,-76.99258368846763,38.89782381467033,6A02
smd_6A03,-76.99260809216042,38.892175757728424,6A03
smd_6A04,-76.98725395884597,38.8915079011831,6A04
smd_6A05,-76.98814638312834,38.894852093131306,6A05
smd_6A06,-76.98556040892012,38.8983277643829,6A06
smd_6A07,-76.98007437166936,38.89752689743157,6A07
smd_6A08,-76.9793258976424,38.892365696430005,6A08
smd_6B01,-77.00501797127944,38.88563824251954,6B01
smd_6B02,-76.99757543929242,38.88682076130325,6B02
smd_6B03,-76.99831202900832,38.881806327233264,6B03
smd_6B04,-76.99278695286259,38.8807234491681,6B04
smd_6B05,-76.99225497157933,38.88737846789846,6B05
smd_6B06,-76.98475741709908,38.8780765229961,6B06
smd_6B07,-76.98815143626223,38.87912673605264,6B07
