smd_id_2022,district_area_2022,smd_id_2012,district_area_2012,overlap_area,overlap_perc,district_rank
smd_1E04,180630.96312556526,smd_1A09,183289.48858372495,0.0,0.0,7.5
smd_1E04,180630.96312556526,smd_1A10,208998.1398569083,113871.8190381551,0.5448460886595357,1.0
smd_1E02,151997.06769490516,smd_1A10,208998.1398569083,42199.32373135736,0.20191243692527291,2.0
smd_1E03,149906.59641595534,smd_1A10,208998.1398569083,33764.96344801141,0.16155628691781074,3.0
smd_1E01,192152.38485890988,smd_1A10,208998.1398569083,19161.906975280737,0.09168458144364366,4.0
,,smd_1A10,208998.1398569083,0.07986718821730099,3.821430576941139e-07,5.0
smd_5A05,1621800.755985489,smd_1A10,208998.1398569083,0.044468910322332016,2.1277179956136402e-07,6.0
smd_5E06,929475.3339857816,smd_1A10,208998.1398569083,0.0023279948815400076,1.1138830628511248e-08,7.0
smd_1A10,163553.1674578274,smd_1A10,208998.1398569083,9.862147714799791e-09,4.71877296207132e-14,8.0
smd_1A10,163553.1674578274,smd_1A11,109637.33809772697,80216.50804283675,0.7316531889102825,1.0
smd_1A09,127755.47099881605,smd_1A11,109637.33809772697,29420.65805679346,0.26834524229846674,2.0
smd_1E03,149906.59641595534,smd_1A11,109637.33809772697,0.09091139941539961,8.292010823389774e-07,3.0
smd_1E04,180630.96312556526,smd_1A11,109637.33809772697,0.07040964708182003,6.422050033635373e-07,4.0
smd_1A06,114341.52462382043,smd_1A11,109637.33809772697,0.01016679249606672,9.27311139842194e-08,5.0
smd_1A03,65682.3047697429,smd_1A11,109637.33809772697,0.0005102715442209299,4.654176698143577e-09,6.0
,,smd_1A11,109637.33809772697,4.5013312361057536e-10,4.105655348995632e-15,7.0
smd_1A01,85597.18720842172,smd_1A12,105308.6562928942,50204.95239946416,0.4767409837594878,1.0
smd_1A09,127755.47099881605,smd_1A12,105308.6562928942,48144.614072691285,0.4571762262238635,2.0
smd_1A03,65682.3047697429,smd_1A12,105308.6562928942,6958.904053761526,0.06608102599283744,3.0
smd_1A10,163553.1674578274,smd_1A12,105308.6562928942,0.11398848100930704,1.0824227088442922e-06,4.0
smd_1A08,80997.35020977596,smd_1A12,105308.6562928942,0.07175249415425355,6.813541894855145e-07,5.0
smd_1C09,90633.09637022167,smd_1A12,105308.6562928942,2.600178620447576e-05,2.4691024574615386e-10,6.0
,,smd_1A12,105308.6562928942,8.291227804331136e-07,7.873263315857725e-12,7.0
smd_1B01,283029.0064440459,smd_1B01,336544.6394414262,248834.98095690907,0.73938179900862,1.0
smd_1B02,236398.82788130446,smd_1B01,336544.6394414262,59578.685133818086,0.17703055746988786,2.0
smd_1E07,230658.13384345555,smd_1B01,336544.6394414262,28130.785601881547,0.08358708564953256,3.0
smd_5E04,167883.17950457783,smd_1B01,336544.6394414262,0.10733762402478347,3.18940227967782e-07,4.0
smd_5E03,166956.20708719306,smd_1B01,336544.6394414262,0.045439858914278375,1.3501881649250555e-07,5.0
smd_2G01,203128.41923947996,smd_1B01,336544.6394414262,0.03497133558950844,1.0391291820173239e-07,6.0
,,smd_1B01,336544.6394414262,3.454405735373397e-10,1.0264331475036369e-15,7.0
smd_5E02,193809.562027748,smd_1B01,336544.6394414262,1.951563910473908e-18,5.7988263123518486e-24,8.0
smd_1B02,236398.82788130446,smd_1B02,262283.4065059468,176820.02638800076,0.6741563591213753,1.0
smd_1B04,122793.29940891635,smd_1B02,262283.4065059468,35890.99231289773,0.13684049933248052,2.0
smd_1B03,219595.07080552843,smd_1B02,262283.4065059468,30767.357982186226,0.11730577390334691,3.0
smd_1B08,168648.9991136629,smd_1B02,262283.4065059468,18805.029630547062,0.07169736690956349,4.0
smd_2G01,203128.41923947996,smd_1B02,262283.4065059468,0.00018576804308805344,7.082721913779988e-10,5.0
smd_2F01,174248.37800272947,smd_1B02,262283.4065059468,6.546566484502219e-06,2.4959895754418556e-11,6.0
,,smd_1B02,262283.4065059468,3.141790271377705e-10,1.1978608609791982e-15,7.0
smd_1E07,230658.13384345555,smd_1B02,262283.4065059468,0.0,0.0,8.0
smd_1B09,108656.14185460705,smd_1B03,153239.0076475414,60884.31121216699,0.3973160107653818,1.0
