anc_id_2022,district_area_2022,anc_id_2012,district_area_2012,overlap_area,overlap_perc,district_rank
anc_5B_2022,4617830.028845506,anc_5B,3872112.3556937138,3715559.643518388,0.9595691710894896,1.0
anc_5A_2022,5819376.272538216,anc_5B,3872112.3556937138,156552.514149106,0.04043077776885909,2.0
anc_5C_2022,8748071.008190794,anc_5B,3872112.3556937138,0.1367464849230564,3.53157326961287e-08,3.0
,,anc_5B,3872112.3556937138,0.06127972109058219,1.58259150203826e-08,4.0
anc_5C_2022,8748071.008190794,anc_5C,9763931.036604466,8748046.063792307,0.8959553310030909,1.0
anc_5B_2022,4617830.028845506,anc_5C,9763931.036604466,872654.6932698542,0.08937534380346578,2.0
anc_5D_2022,3613812.1743651237,anc_5C,9763931.036604466,132952.45704376136,0.0136166935781633,3.0
anc_5F_2022,2086203.0104829306,anc_5C,9763931.036604466,10277.810775859927,0.0010526304146689436,4.0
anc_7D_2022,6105057.581242257,anc_5C,9763931.036604466,0.011579736257391726,1.18597071343293e-09,5.0
,,anc_5C,9763931.036604466,0.00021056838602166868,2.1565943597128947e-11,6.0
anc_5D_2022,3613812.1743651237,anc_5D,3486087.773393922,3480845.667957823,0.9984962784138405,1.0
anc_5F_2022,2086203.0104829306,anc_5D,3486087.773393922,4728.2455943928235,0.0013563185730661005,2.0
anc_6A_2022,1490568.3921970315,anc_5D,3486087.773393922,490.01288866683484,0.00014056240706463252,3.0
anc_5C_2022,8748071.008190794,anc_5D,3486087.773393922,23.647603265952437,6.783421647163529e-06,4.0
anc_7D_2022,6105057.581242257,anc_5D,3486087.773393922,0.10329818590262269,2.9631550499388463e-08,5.0
anc_6C_2022,1999719.4562194017,anc_5D,3486087.773393922,0.09181280763908273,2.6336917945613652e-08,6.0
,,anc_5D,3486087.773393922,0.004329812727250508,1.2420263082002572e-09,7.0
anc_6E_2022,1745180.5359229217,anc_5D,3486087.773393922,0.0030890511205552418,8.861082455040596e-10,8.0
anc_5F_2022,2086203.0104829306,anc_5E,3965893.2762453393,2071196.7545821986,0.5222522670965767,1.0
anc_5E_2022,2045104.8344009966,anc_5E,3965893.2762453393,1851883.503313598,0.46695243021437177,2.0
anc_5A_2022,5819376.272538216,anc_5E,3965893.2762453393,19807.90710605197,0.004994563828708185,3.0
anc_5B_2022,4617830.028845506,anc_5E,3965893.2762453393,18429.045945386908,0.004646883983432449,4.0
anc_1B_2022,1464265.706897377,anc_5E,3965893.2762453393,4575.3404083741325,0.0011536720959636564,5.0
anc_1E_2022,1682767.0147779176,anc_5E,3965893.2762453393,0.34910762680261526,8.80274890133021e-08,6.0
anc_2G_2022,1089239.6343951726,anc_5E,3965893.2762453393,0.22473159828784178,5.666607309730827e-08,7.0
anc_6E_2022,1745180.5359229217,anc_5E,3965893.2762453393,0.1138908068620401,2.871756724877499e-08,8.0
,,anc_5E,3965893.2762453393,0.04356097045311201,1.098389881392694e-08,9.0
anc_5C_2022,8748071.008190794,anc_5E,3965893.2762453393,0.00012375164505940006,3.120397762608489e-11,10.0
anc_6A_2022,1490568.3921970315,anc_6A,2113280.4425556595,1383706.7402968018,0.6547672104623463,1.0
