smd_id,lon,lat,smd,current_commissioner,number_of_candidates,list_of_candidates
smd_1B11,-77.02241712984711,38.921347649648425,1B11,Robb Hudson,1,Robb Hudson
smd_1B12,-77.03045428625737,38.91610948802486,1B12,Dan Winston,3,"Michael Singer, Dan Wittels, Andre Denegri"
smd_1C01,-77.04444150766953,38.91718255057215,1C01,Amir Irani,1,Amir Irani
smd_1C02,-77.0474322553309,38.92048566851769,1C02,(vacant),1,Celeste Carano
smd_1C03,-77.04376555890136,38.92060991853564,1C03,Ted Guthrie,3,"Elias Benda, Jennifer Hughes, Peter Wood"
smd_1C04,-77.04545287701032,38.925220143158825,1C04,John V. Zottoli,2,"Meghan Faulkner, John V. Zottoli"
smd_1C05,-77.03990269429444,38.926485017805376,1C05,Damiana Dendy,2,"Dennis Jaffe, Zack Gold"
smd_1C06,-77.03833177312441,38.92413955448298,1C06,Michaela Wright,1,Nancy Shia
smd_1C07,-77.04111632889587,38.920993925002314,1C07,Japer Bowles,1,Japer Bowles
smd_1C08,-77.03794146934806,38.9195502902062,1C08,Chris Jackson,2,"Chris Jackson, Fiona Clem"
smd_1D01,-77.03942696096966,38.93238644849025,1D01,Jon Stewart,1,Alexandra Morgan
smd_1D02,-77.03779257845966,38.936051138680064,1D02,Robin Sandenburgh,1,Robin Sandenburgh
smd_1D03,-77.04380037173226,38.933915631330656,1D03,Jack McKay,1,Jack McKay
smd_1D04,-77.03766492680333,38.93109848086383,1D04,Yasmin Romero-Latin,0,(no known candidates)
smd_1D05,-77.04278890813768,38.92961112062137,1D05,Chelsea A. Allinger,1,Chelsea A. Allinger
smd_2A01,-77.04425158831782,38.885576937131255,2A01,Patrick Kennedy,0,(no known candidates)
smd_2A02,-77.05257832300465,38.905383972390645,2A02,Nicole Goldin,2,"Nicole Goldin, Joel Causey"
smd_2A03,-77.05401802772329,38.902514230251995,2A03,Trupti J. Patel,3,"Trupti J. Patel, John Didiuk, John P. George"
smd_2A04,-77.05738344996792,38.89235779548105,2A04,William Kennedy Smith,0,(no known candidates)
smd_2A05,-77.05154142763605,38.89747613029355,2A05,Evelyn Hudson,1,Evelyn Hudson
smd_2A06,-77.04815569240033,38.90398353065301,2A06,Jeri Epstein,1,Jeri Epstein
smd_2A07,-77.0491771672608,38.899434988882696,2A07,Detrick Campbell,0,(no known candidates)
smd_2A08,-77.04717194171765,38.89903557768939,2A08,James Harnett,0,(no known candidates)
smd_2B01,-77.04262906875749,38.91425386389784,2B01,Matthew H. Sampson,2,"Matthew H. Sampson, Margaret Ellen Roggensack"
smd_2B02,-77.04630794003623,38.910348305356266,2B02,Daniel Warwick,1,Daniel Warwick
smd_2B03,-77.04140801709127,38.91220144835021,2B03,(vacant),2,"Bashir Yousef, Robin Linnett Nunn"
smd_2B04,-77.03651815198663,38.91261601307413,2B04,Aaron Landry,2,"Moshe 'Mo' Pasternak, Dianne C. Quinn"
smd_2B05,-77.03732469397596,38.90486477210735,2B05,Randy D. Downs,1,William Herbig
smd_2B06,-77.04457026925344,38.904710500191115,2B06,Mike Silverstein,1,Mike Silverstein
smd_2B07,-77.04106426774771,38.90919804411436,2B07,Kari Cunningham,1,Michael Scott McKernan
smd_2B08,-77.04024711016017,38.91591850367757,2B08,Beverly Schwartz,1,Matthew Holden
smd_2B09,-77.03521745404072,38.91555449118036,2B09,Ed Hanlon,1,Kyle Mulhall
smd_2C01,-77.02756668338199,38.895661961106896,2C01,Michael D. Shankle,1,Michael D. Shankle
smd_2C02,-77.01685784182132,38.899374751516405,2C02,Jamaal T. Burton,0,(no known candidates)
smd_2C03,-77.01743103033488,38.89213326718808,2C03,Kevin Wilsey,1,Gigi Nelson
smd_2D01,-77.05249941619985,38.91742694379136,2D01,David R. Bender,2,"Thomas McDonough, Ashley Warren"
smd_2D02,-77.05165667289249,38.91386137616636,2D02,Jeff Nestler,0,(no known candidates)
smd_2E01,-77.07496999318819,38.914456902168176,2E01,Kishan Putta,1,Kishan Putta
smd_2E02,-77.06848309364116,38.911740655520575,2E02,Joe Gibbons,2,"Jenny Mitchell, Christopher Mathews"
smd_2E03,-77.06592258566927,38.90810277594152,2E03,Rick Murphy,1,Rick Murphy
smd_2E04,-77.0757647061127,38.908372791070015,2E04,Anna Landre,0,(no known candidates)
smd_2E05,-77.06605625656543,38.90159143541647,2E05,Lisa Palmer,1,Lisa Palmer
smd_2E06,-77.05895557411169,38.90755752674934,2E06,Gwendolyn Lohse,1,Gwendolyn Lohse
smd_2E07,-77.06032892209359,38.913925128589156,2E07,Elizabeth H. Miller,1,Elizabeth H. Miller
smd_2E08,-77.07248222757704,38.90795759176298,2E08,Matias Burdman,0,(no known candidates)
smd_2F01,-77.03079780490707,38.91261718583721,2F01,Jason Forman,1,Brian Romanowski
smd_2F02,-77.03247768786032,38.90991513802316,2F02,John Guggenmos,1,John Guggenmos
smd_2F03,-77.03239926161336,38.9075520236888,2F03,John Bottino,1,Michelle Yan
smd_2F04,-77.02850471731804,38.90975765745203,2F04,John Fanning,1,John Fanning
smd_2F05,-77.03233863223899,38.904351726175335,2F05,Madeleine G. Stirling,1,Peyton Jane Gibson
smd_2F06,-77.02441645743131,38.905775583168676,2F06,Ian D. Simon,1,Ian D. Simon
smd_2F07,-77.02780695310454,38.90645161361945,2F07,Kevin J. Sylvester,1,Rehana Mohammed
smd_2F08,-77.02915432143736,38.903174879240936,2F08,Janice Ferebee,1,Janice Ferebee
smd_3B01,-77.07775320568358,38.925522325930814,3B01,Ann Lane Mladinov,1,Ann Lane Mladinov
smd_3B02,-77.07218641074816,38.920870410047286,3B02,Jackie Blumenthal,1,Jackie Blumenthal
smd_3B03,-77.0812546945239,38.92195048325272,3B03,Melissa Lane,1,Melissa Lane
smd_3B04,-77.07970018653832,38.928605086590025,3B04,Mary C. Young,1,Elizabeth Elson
smd_3B05,-77.07671337856266,38.919409306320595,3B05,Brian G. Turmail,1,Brian G. Turmail
smd_3C01,-77.05057441103597,38.92870418383347,3C01,Lee Brian Reba,1,Lee Brian Reba
smd_3C02,-77.05644533384009,38.925082558327155,3C02,Jason Fink,1,Jason Fink
smd_3C03,-77.05672123740803,38.92916458075729,3C03,Jimmy Dubois,1,Janell Marie Pagats
smd_3C04,-77.0535039064914,38.93576568574887,3C04,"Robert ""Beau"" Finley",0,(no known candidates)
smd_3C05,-77.06471944603362,38.937019862309704,3C05,(vacant),3,"Meena Aladdin, Sauleh A. Siddiqui, Trish Berman"
smd_3C06,-77.0769596066427,38.93747791556572,3C06,Angela Bradbery,1,Kamolika Das
smd_3C07,-77.07518140275293,38.93111167762479,3C07,Maureen Kinlan Boucher,0,(no known candidates)
smd_3C08,-77.06611227452503,38.92480257085191,3C08,Victoria Gersten,0,(no known candidates)
smd_3C09,-77.07019552518312,38.93374061196658,3C09,Nancy J. MacWood,1,Nancy J. MacWood
smd_3D01,-77.0892916977229,38.928071014150326,3D01,Chuck Elkins,2,"Carolin Jane Croft, Chuck Elkins"
smd_3D02,-77.09474382453956,38.93754054503643,3D02,Troy Kravitz,2,"Troy Kravitz, Toni A. Ghazi"
smd_3D03,-77.10286130283815,38.940124156472976,3D03,Paige Ela,1,Paige Ela
smd_3D04,-77.11109185549896,38.93134285150981,3D04,Michael Sriqui,1,Michael Sriqui
smd_3D05,-77.10130036612591,38.92212097924831,3D05,Alan Karnofsky,0,(no known candidates)
smd_3D06,-77.09031183207058,38.917142552566034,3D06,Virginia Gorsevski,0,(no known candidates)
smd_3D07,-77.08921644459966,38.93726573789424,3D07,Taylor Berlin,1,Christian Damiana
smd_3D08,-77.08316759155244,38.931605671850846,3D08,Christine Warnke,3,"Benjamin Bergmann, Doreen Moses, Christine Warnke"
smd_3D09,-77.09386246439728,38.909851736201794,3D09,J.P. Szymkowicz,2,"Marc Hayes Robinson, J.P. Szymkowicz"
smd_3D10,-77.08224354560512,38.938613412156364,3D10,Jeremy Del Moral,1,Jeremy Del Moral
smd_3E01,-77.07961996460077,38.9481404599504,3E01,Greg Ehrhardt,1,Matthew Cohen
smd_3E02,-77.09546570152517,38.948781329016754,3E02,Amy B. Hall,1,Amy B. Hall
smd_3E03,-77.08563541929553,38.95436274578448,3E03,Jonathan Bender,2,"Jonathan Bender, Sara Cantos Kline"
smd_3E04,-77.07875815820056,38.956462837486455,3E04,Tom Quinn,2,"Laila Kunaish, Tom Quinn"
smd_3E05,-77.08441560145206,38.94381731859085,3E05,Jonathan McHugh,1,Jonathan McHugh
smd_3F01,-77.0686897218786,38.94244385109785,3F01,David Cristeal,2,"Ulas Doga Eralp, David Cristeal"
smd_3F02,-77.05913519217188,38.94377360030832,3F02,Carolinn A Kuebler,1,Alexandria Appah
smd_3F03,-77.05393997662381,38.95309936329783,3F03,Naomi Rutenberg,1,"Dipali (""Dipa"") Mehta"
smd_3F04,-77.065292899802,38.949589086666066,3F04,Leah Frelinghuysen,0,(no known candidates)
smd_3F05,-77.0673906486745,38.95875843180482,3F05,Andrea Molod,3,"Alexander Armstrong, Claudette David, Ryan Keefe"
smd_3F06,-77.070663932543,38.949104888984365,3F06,Monika Nemeth,1,Monika Nemeth
smd_3F07,-77.0555666158197,38.94156100498774,3F07,(vacant),2,"Matt Buechner, Lisa Cox"
smd_3G01,-77.04778313199846,38.97993228946841,3G01,Abraham Clayman,2,"Lisa R. Gore, Lucinda A. Wade"
smd_3G02,-77.05183833385371,38.96961386827036,3G02,Chanda Tuck Garfield,1,John K. Higgins
smd_3G03,-77.06165871592323,38.96149734271903,3G03,Randy Speck,1,Randy Speck
smd_3G04,-77.06612875978068,38.96899819117026,3G04,Rebecca Maydak,1,Rebecca Maydak
smd_3G05,-77.07188693032786,38.96580685962911,3G05,Jerry Malitz,1,Connie K.N. Chang
smd_3G06,-77.07667043927272,38.963207718319886,3G06,Dan Bradfield,0,(no known candidates)
smd_3G07,-77.07335950317406,38.95848690139886,3G07,Chris Fromboluti,1,Chris Fromboluti
smd_4A01,-77.04089897310432,38.985386353101404,4A01,Phyllis Caudle Green,0,(no known candidates)
smd_4A02,-77.03186733970809,38.98376420625432,4A02,Stacey Lincoln,2,"Stacey Lincoln, Merrit Paul Drucker"
smd_4A03,-77.03140149623125,38.97401539295817,4A03,Stephen A. Whatley,0,(no known candidates)
smd_4A04,-77.0309127873428,38.96765207543156,4A04,Patience Singleton,2,"Patience Singleton, Jes'Terieuz 'JT' Howard"
smd_4A05,-77.03442337024265,38.96489572968585,4A05,(vacant),0,(no known candidates)
smd_4A06,-77.03057025389984,38.961692379713895,4A06,Candace Tiana Nelson,2,"Aretha N. Jones, Candace Tiana Nelson"
smd_4A07,-77.03946800757015,38.964034473611626,4A07,Marlene Moss,0,(no known candidates)
smd_4A08,-77.04427011587988,38.942651378174894,4A08,Gale B. Black,1,Pavan Khoobchandani
smd_4B01,-77.02239842577582,38.97809141637472,4B01,Evan Yeats,1,Evan Yeats
smd_4B02,-77.02239524924667,38.97250175357193,4B02,Erin Palmer,1,Erin Palmer
smd_4B03,-77.02024789092795,38.96744602468787,4B03,Scot Knickerbocker,2,"Jocelynn 'JJ' Johnson, Laurence B Minor II"
smd_4B04,-77.02316086956866,38.96287091557746,4B04,Brenda Parks,0,(no known candidates)
smd_4B05,-77.02312790988003,38.95904245667335,4B05,Perry Redd,0,(no known candidates)
smd_4B06,-77.01353981541065,38.962283162892525,4B06,Tiffani Nichole Johnson,1,Tiffani Nichole Johnson
smd_4B07,-77.0103309283478,38.968488908683184,4B07,Geoff Bromaghim,1,Geoff Bromaghim
smd_4B08,-77.00585632368514,38.95926385370315,4B08,Alison Brooks,1,Alison Brooks
smd_4B09,-76.99729387554075,38.959290483067655,4B09,LaRoya A. Huff,2,"LaRoya A. Huff, Tischa Cockrell"
smd_4C01,-77.03011708684629,38.95650101969719,4C01,Charlotte Nugent,2,"Vanessa Rubio, Taalib-Din Uqdah"
smd_4C02,-77.03236971848138,38.95085196772991,4C02,Maria Barry,1,Maria Barry
smd_4C03,-77.03324825668818,38.94507184982236,4C03,Ulysses E. Campbell,1,Ulysses E. Campbell
smd_4C04,-77.03458914931403,38.93948390787631,4C04,Nora Simon,2,"Yvette D. Marbury-Long, Jeremy Foster"
smd_4C05,-77.03021937922641,38.94149975107208,4C05,Debbie Matties,1,Audrey Anderson Duckett
smd_4C06,-77.02701355894318,38.93782782386115,4C06,Bennett Hilley,2,"Michael C. Whelan, Namatie Sia Mansaray"
smd_4C07,-77.02342012056177,38.94347120578208,4C07,Kim Varzi,2,"Jacob Mason, Paul Johnson"
smd_4C08,-77.02170663268122,38.93927564016201,4C08,Leah Anderson,2,"Clara Haskell Botstein, Charles Andrew Sinks"
smd_4C09,-77.01801845511864,38.946066936532695,4C09,Tearsa Coates,1,Alan Wehler
smd_4C10,-77.01618636172047,38.9414667394034,4C10,Jonah Goodman,2,"Jonah Goodman, Monica P. Blair"
smd_4D01,-77.02613507054205,38.95613130868148,4D01,Peter Tabor,0,(no known candidates)
smd_4D02,-77.01526788149077,38.954819233105404,4D02,Renée L. Bowser,1,Renée L. Bowser
smd_4D03,-77.019022972573,38.95254754763975,4D03,Aaron Polkey,0,(no known candidates)
smd_4D04,-77.02466356950933,38.95238557972383,4D04,Jamie Barden,1,Zachary Israel
smd_4D05,-77.01235239264876,38.94901032042865,4D05,Krystal Branton,0,(no known candidates)
smd_4D06,-77.02338923033362,38.948408192982214,4D06,Jonathan Nobil,1,Jonathan Nobil
smd_5A01,-76.99382974488842,38.95504958588149,5A01,Frank Wilds,1,Damion McDuffie Sr.
smd_5A02,-76.98801417468205,38.949484506349094,5A02,Grace J. Lewis,0,(no known candidates)
smd_5A03,-76.99160751520242,38.945741633441614,5A03,Emily Singer Lucio,1,Emily Singer Lucio
smd_5A04,-77.00051799770179,38.93893953765895,5A04,(vacant),0,(no known candidates)
smd_5A05,-77.01084301972566,38.93564759980572,5A05,Ronnie Edwards,0,(no known candidates)
smd_5A06,-77.00541764882338,38.94176078817344,5A06,Claudia Barragan,0,(no known candidates)
smd_5A07,-77.00528704818366,38.95060568926663,5A07,Sandi Washington,0,(no known candidates)
smd_5A08,-76.99892588921581,38.950872888075345,5A08,Gordon-Andrew Fletcher,2,"Nestride Yumga, Gordon-Andrew Fletcher"
smd_5B01,-76.97707352000397,38.94223390846909,5B01,Gayle Carley,3,"Gayle Carley, Cynthia Woerner, Steven Reaves Couper"
smd_5B02,-76.98406594895962,38.937478629200456,5B02,Ursula Higgins,1,Ursula Higgins
smd_5B03,-76.98340621277521,38.929465435510906,5B03,Henri Makembe,0,(no known candidates)
smd_5B04,-76.99147963144237,38.92732985254151,5B04,Ra Amin,1,Ra Amin
smd_5B05,-76.99158859684792,38.938365221053154,5B05,"John J. Feeley, Jr.",1,"John J. Feeley, Jr."
smd_5C01,-76.96948872033296,38.93420601337621,5C01,Gail Brevard,2,"Michael Triebwasser, Gail Brevard"
smd_5C02,-76.96829489423114,38.92590267477644,5C02,Lauren Rogers,1,Lauren Rogers
smd_5C03,-76.9535129993392,38.92385718381498,5C03,Pierre Hines,1,Pierre Hines
smd_5C04,-76.96475149980802,38.915338157293476,5C04,Jacqueline Manning,1,Jacqueline Manning
smd_5C05,-76.99074951174029,38.91759488801578,5C05,Darlene Oliver,2,"Jonathan Alfuth, Justin R. Riordan"
smd_5C06,-76.98204937044102,38.922862642895176,5C06,Kirsten Williams,2,"Thaddeus James, D'Andre A. Phillips"
smd_5C07,-76.97437258069037,38.927971427612746,5C07,Jeremiah Montague Jr.,1,Jeremiah Montague Jr.
smd_5D01,-76.99064442256427,38.91061641442718,5D01,Ryan Linehan,1,Sebrena L. Rhodes
smd_5D02,-76.9836910371288,38.90766055331324,5D02,Keisha L. Shropshire,1,Salvador Sauceda-Guzman
smd_5D03,-76.97954574629608,38.90397226823643,5D03,Steven C. Motley Sr,3,"James Butler, Sean Barry, Latoya Renee Moore"
smd_5D04,-76.96724274931964,38.901359210927275,5D04,Bernice S Blacknell,1,Bernice S Blacknell
smd_5D05,-76.97590932436017,38.90138645159141,5D05,Sydelle Moore,2,"Kathy Henderson, Sydelle Moore"
smd_5D06,-76.98721548375867,38.903233256499036,5D06,(vacant),2,"Zachary Hoffman, Michael Anthony Lussier"
smd_5D07,-76.98518995136388,38.90523502009881,5D07,Clarence Lee,1,Stephen Cobb
smd_5E01,-76.99893455474744,38.928735430933365,5E01,Nick Cheolas,1,Michael Braeuninger
smd_5E02,-76.99765873759287,38.922677431360114,5E02,Patricia Williams,1,Patricia Williams
smd_5E03,-77.0016035590709,38.91530799928328,5E03,Cortney Segmen,1,Denise L. Wright
smd_5E04,-77.006722040401,38.91288991105692,5E04,Sylvia M. Pinkney,2,"Mary Farmer-Allen, Sylvia M. Pinkney"
smd_5E05,-77.01275611544119,38.90911155020356,5E05,Bradley Ashton Thomas,1,Bradley Ashton Thomas
smd_5E06,-77.01343177776575,38.912611855190185,5E06,Karla M. Lewis,1,Karla M. Lewis
smd_5E07,-77.01177367218601,38.91517828488409,5E07,Bertha G. Holliday,1,Sharon Burns
smd_5E08,-77.01195951286124,38.91862272119303,5E08,Robert Vinson Brannum,1,Robert Vinson Brannum
smd_5E09,-77.0103626994532,38.92404280713379,5E09,Dianne Barnes,2,"Kirby Vining, Dianne Barnes"
smd_5E10,-77.00271016086872,38.92172524365698,5E10,Nancy Darlene Jones,0,(no known candidates)
smd_6A01,-76.99324387292594,38.90183999470665,6A01,Marie-Claire Brown,2,"Marie-Claire Brown, Keya Chatterjee"
smd_6A02,-76.99258368846763,38.89782381467033,6A02,Phil Toomajian,1,Phil Toomajian
smd_6A03,-76.99260809216042,38.89217575772842,6A03,Mike Soderman,1,Mike Soderman
smd_6A04,-76.98725395884597,38.8915079011831,6A04,Amber Gove,2,"Amber Gove, Ali Gardezi"
smd_6A05,-76.98814638312835,38.894852093131306,6A05,Ruth Ann Hudson,0,(no known candidates)
smd_6A06,-76.98556040892012,38.8983277643829,6A06,Stephanie Zimny,3,"Robb Dooling, Kate Robinson, H.J. Amons, Sr."
smd_6A07,-76.98007437166936,38.89752689743157,6A07,Sondra Phillips-Gilbert,3,"Rico Dancy, Sondra Phillips-Gilbert, Daniel M. Lee"
smd_6A08,-76.9793258976424,38.892365696430005,6A08,Brian Alcorn,1,Brian Alcorn
smd_6B01,-77.00501797127944,38.88563824251954,6B01,Jennifer E. Samolyk,0,(no known candidates)
smd_6B02,-76.99757543929242,38.88682076130325,6B02,Gerald Sroufe,1,Gerald Sroufe
smd_6B03,-76.99831202900832,38.881806327233264,6B03,Brian Ready,2,"Gerardo Mijares-Shafai, Brian Ready"
smd_6B04,-76.9927869528626,38.8807234491681,6B04,Kirsten Oldenburg,1,Kirsten Oldenburg
smd_6B05,-76.99225497157933,38.88737846789846,6B05,Steve Holtzman,1,Steve Holtzman
smd_6B06,-76.98475741709908,38.8780765229961,6B06,Corey Holman,1,Corey Holman
smd_6B07,-76.98815143626224,38.87912673605264,6B07,Kelly Waud,0,(no known candidates)
smd_6B08,-76.98606095475759,38.887449773604686,6B08,Chander Jayaraman,1,Paul Blair
smd_6B09,-76.97872007921583,38.88120791566672,6B09,(vacant),2,"Michael Morris, R. Andre Speaks"
smd_6B10,-76.9801097720375,38.88775067401043,6B10,Kathryn Denise Rucker Krepp,0,(no known candidates)
smd_6C01,-77.00202270531067,38.890919233190594,6C01,Christine Healey,1,Christine Healey
smd_6C02,-77.01036656232371,38.89572954647416,6C02,Karen Wirt,1,Karen Wirt
smd_6C03,-76.99760649411402,38.89448800846996,6C03,Jay Adelstein,1,Jay Adelstein
smd_6C04,-77.00635713010301,38.89861744370039,6C04,Mark Eckenwiler,2,"Pranav Nanda, Mark Eckenwiler"
smd_6C05,-76.99805387022894,38.90018882169864,6C05,Joel Kelty,1,Joel Kelty
smd_6C06,-77.00472658562312,38.904559695257134,6C06,Drew Courtney,3,"Tommy Howard, Cindy Drabek, Drew Courtney"
smd_6D01,-77.02354432274882,38.8833406445981,6D01,Gail Fast,1,Gail Fast
smd_6D02,-77.0105063079117,38.88025567931064,6D02,Anna Forgie,0,(no known candidates)
smd_6D03,-77.01594817893653,38.88220867126714,6D03,Ronald R. Collins,1,Ronald R. Collins
smd_6D04,-77.02873656161559,38.877679426219395,6D04,Andy Litsky,1,Andy Litsky
smd_6D05,-77.024351966625,38.86475860736913,6D05,Fredrica Kramer,1,Fredrica Kramer
smd_6D06,-77.01166163745717,38.87226585647069,6D06,Rhonda N. Hamilton,1,Rhonda N. Hamilton
smd_6D07,-76.9997137872511,38.87519538579514,6D07,"Edward Lee Daniels, Jr.",1,"Edward Lee Daniels, Jr."
smd_6E01,-77.02418046899145,38.911644172699546,6E01,"Alexander M. ""Alex"" Padro",2,"Michael Eichler, Mary A. Sutherland"
smd_6E02,-77.01891591795477,38.91157992219897,6E02,Michael J. Brown,4,"Alexander Lopez, Valerie Randolph, Eugene Simms, Tony Brown"
smd_6E03,-77.02109813054655,38.90724995471025,6E03,Frank S. Wiggins,1,Frank S. Wiggins
smd_6E04,-77.01778597258424,38.90576409697886,6E04,Rachelle Nigro,3,"Matthew R. Salmon, Rachelle Nigro, Jordan A. Hibbs"
smd_6E05,-77.01835018760464,38.9025312361808,6E05,Alex Marriott,1,Katherine Kortum
smd_6E06,-77.0105258117522,38.90532000163317,6E06,Alvin Judd Sr.,0,(no known candidates)
smd_6E07,-77.01263143949933,38.90104588150669,6E07,Kevin M. Rogers,2,"Nathan Brown, Kevin M. Rogers"
smd_7B01,-76.96447021856075,38.881706501332545,7B01,Patricia Howard-Chittams,2,"Chioma Iwuoha, John Adams"
smd_7B02,-76.9666515103238,38.86518986242773,7B02,Tiffany L. Brown,1,Tiffany L. Brown
smd_7B03,-76.97047923568563,38.874037026566576,7B03,Benjamin Crane,0,(no known candidates)
smd_7B04,-76.96010734754208,38.86901853340369,7B04,Nicole Smith-McDermott,0,(no known candidates)
smd_7B05,-76.96224120325357,38.85720646814809,7B05,"Villareal ""VJ"" Johnson II",2,"Villareal ""VJ"" Johnson II, Donna Robinson"
smd_7B06,-76.95373302654265,38.86150069775464,7B06,April Pradier,2,"Tony Dugger, Andrew Carlyle Haynesworth"
smd_7B07,-76.95183753909572,38.87203566258208,7B07,D. L. Humphrey,0,(no known candidates)
smd_7C01,-76.92816235466637,38.89816717664699,7C01,Patricia A. Malloy,1,Patricia A. Malloy
smd_7C02,-76.92477030157829,38.89226874033289,7C02,(vacant),3,"Yolanda Fields, Patricia Williams, Mandla Deskins"
smd_7C03,-76.93178598734984,38.893784258380954,7C03,Catherine A. Woods,2,"Vincent Van, Catherine A. Woods"
smd_7C04,-76.9249062152373,38.901840561344926,7C04,Anthony Lorenzo Green,2,"Anthony Lorenzo Green, Pete Stamper"
smd_7C05,-76.91597671619945,38.89314393419984,7C05,Mary L. Gaffney,1,Mary L. Gaffney
smd_7C06,-76.92137980393385,38.898713272125185,7C06,Arnold Smith,1,Victoria Clark
smd_7C07,-76.93100211945004,38.90649796997553,7C07,Antawan Holmes,2,"Emmanuelle Klossou, Antawan Holmes"
smd_7D01,-76.97011064049288,38.893474139988,7D01,Tamara Blair,1,Tamara Blair
smd_7D02,-76.94313562861032,38.90533518636384,7D02,Siraaj M. Hasan,0,(no known candidates)
smd_7D03,-76.94458928449603,38.91023913960629,7D03,Dorothy Douglas,1,Dorothy Douglas
smd_7D04,-76.95862869832033,38.893489719590335,7D04,Cinque E. Culver,1,Milton Hardy
smd_7D05,-76.93780114952726,38.89321456785003,7D05,Aretha Jackson,0,(no known candidates)
smd_7D06,-76.94138129096291,38.898130295364005,7D06,(vacant),1,Rebecca Morris
smd_7D07,-76.95425475150293,38.90132310013176,7D07,Artilie Wright,0,(no known candidates)
smd_7E01,-76.93690312171013,38.877801071287095,7E01,Veda Rasheed,0,(no known candidates)
smd_7E02,-76.94078893684728,38.87229416990944,7E02,Linda S. Green,0,(no known candidates)
smd_7E03,-76.93317685691237,38.880284221186,7E03,Ebbon A. Allen,0,(no known candidates)
smd_7E04,-76.93402258070351,38.88586462953135,7E04,Takiyah Tate,3,"Natasha Dupee, Lorraine Miller, Keith Hasan-Towery"
smd_7E05,-76.92980108874141,38.88593348945492,7E05,Victor L. Horton,0,(no known candidates)
smd_7E06,-76.9242075327959,38.88489694769902,7E06,Delia Houseal,2,"Joel Savary, Delia Houseal"
smd_7E07,-76.91994135665442,38.88773127529494,7E07,Yolanda Fields,1,Brandon Scott
smd_7F01,-76.94725426555108,38.89407883623808,7F01,Tyrell M. Holcomb,0,(no known candidates)
smd_7F02,-76.94379618196321,38.88552760092518,7F02,Terrance Hunter,2,"Terrance Hunter, Dawn R. Cook"
smd_7F03,-76.93739040011303,38.88390696464097,7F03,Sheila Carson Carr,0,(no known candidates)
smd_7F04,-76.95389730149519,38.88206889978852,7F04,Charlene Exum,2,"Racquel Codling, Charlene Exum"
smd_7F05,-76.94943724395108,38.88565657068758,7F05,Brittany N. Hughes,2,"Karen Settles, Brittany N. Hughes"
smd_7F06,-76.95485138464196,38.89016355022197,7F06,Carol E. Fletcher,2,"Carol E. Fletcher, Betty J. Diggs"
smd_7F07,-76.97035016664961,38.88561598125518,7F07,(vacant),0,(no known candidates)
smd_8A01,-76.97871677680264,38.87316866141457,8A01,Holly Muhammad,1,Holly Muhammad
smd_8A02,-76.98361891661939,38.86990408668088,8A02,Barbara J. Clark,2,"Barbara J. Clark, Ira L. Lovelace"
smd_8A03,-76.97316542428722,38.86726801701096,8A03,Brian K Thompson,0,(no known candidates)
