dcboe_hash_id,smd_id,candidate_name,num_candidacies,first_year
19136657b8809702d936718dc9a60282748b949668ae10681afcb10a,smd_3E04,Sandy Shapiro,1,2014
19b8d1e0fe1756ead2e5e280eea1e03d66d6883c210eaf08b46a5f91,smd_2F02,Karin Berry,1,2014
1a44e7f40427e9a83eb89ca9aca74bd92e1c7711d61df1d98b872466,smd_1D02,Paul Karrer,1,2016
1a68c468101e431a05385f293043757e799b24bc38fc7ccb5dbea47b,smd_4C01,Charlotte Nugent,2,2016
1a69cd847067aede5eca57e076a82756f60b1335b15d1f2cd790d020,smd_3G07,Chris Fromboluti,3,2014
1a90a4e9c8fe44b9eb7c00ef5473ee2767db0bfc5568d467c7be9346,smd_1C04,A. Tianna Scozzaro,1,2016
1ab6f9350ddb55cdb3131cc8c5e6fa2dcff6a063a20681f37a1c1120,smd_5D07,Clarence Lee,2,2016
1aec1c40b11e278d1b1e84b35a8a2df75ad7c17e358613a9ece092e3,smd_5D06,George Jackson,1,2014
1b254425952607e5d2144fa0a42bc1b66a9219109dc97095db7a1a30,smd_2E07,"Charles F. Eason,  Jr.",1,2012
1bbcc62966f782eef7c5714737e60a8ff4f063e9fd418d5951cb8d33,smd_5C04,Roderick L. Johnson,1,2014
1c058ce22de8066bba4e7dc9ac3f36d8d9549ddc8877f4ed820cd164,smd_5D02,Keisha L. Shropshire,3,2014
1c46139b18caaacf15d2bb624f8fc375ac94a614ff469f40f3422e01,smd_3C01,John Grill,1,2018
1c8e6cbc68268696c2cd6046143a20426c95e1c81bfbc794539faef7,smd_2B02,Daniel Warwick,3,2014
1d27be04882ac76b4a6871dece350c93fe26d84397f9baf103bb8d6e,smd_5E09,Ronald Brooks (Boone),1,2012
1e40ea49b4d660de37725720ed68300d284ac6e51465861c3e6ef28b,smd_1C08,Amanda Fox Perry,2,2016
1e6868f6fc86fd508e88a3541d4134fb6a446a8bff776c6486bcfd2b,smd_6B08,Chander Jayaraman,4,2012
1e93ff4e80df22ba37efb5f27b17d9036270e057ee13f8236077898f,smd_7B07,Jimmie Williams,1,2016
1ed69b6413879810213d75a2a77319de054409814980044c06c45179,smd_7E05,Victor L. Horton,1,2018
1eda19c658b084f95a76966e2784167c543eb44ca254fee868cdd941,smd_2F07,Kevin J Sylvester,2,2016
1f1c9ef5faae343e0db5b8eda535391d04abc7909d7f926108975531,smd_6A08,Benjamin Rosset,1,2012
1f41e80abb2ff2ae43b4b532287317c66594615538649b7382befade,smd_4A04,Marian C. Bennett,1,2012
1f8948ef9e4a93da53aaa644f5d2806fb474535b126db17e038db4c4,smd_4C04,"Rickey Williams, Jr.",2,2012
202b2c9a4b394b755c7d2631d4777c1fb15d51394cdfeea3ad56ddc9,smd_3B01,Joe Fiorillo,2,2012
2040a585570db1c9072609266a885b8cd44c37c3003f86ee59004050,smd_6E04,Rachelle P. Nigro,2,2012
204fefc301a846e26a4a0532e447dfd6e7388edb229525074b4c4f05,smd_7F03,Sheila Carson Carr,4,2012
208cd79763355c732591919b17922dba97be95c8dbec839e6fea7643,smd_8A05,Charles E. Wilson,2,2012
2131b48d818ca94ee2033c3e78519102120a86b0f090a6a1e1cc81df,smd_5B03,Henri Makembe,2,2016
21811545c8fbe239d0d0dde5d051da78f5d1b2dd9239d45a6f06a799,smd_2E08,Zachary Schroepfer,1,2016
21abef02d360e65fd2d28bbe09bc29be0d4cff2187405b1743263bed,smd_5E08,Mark Mueller,1,2012
228b711ba3918bd125c829927417a8cb574d275b70bf626170b6652d,smd_6D06,Rhonda N. Hamilton,4,2012
22a0a887c7cb2f9e0c14d8584b1a97bfcbe6997cfd93b1a0729ac11f,smd_1C02,"Martis ""Marty"" Davis",1,2012
22b546db62711761df4e0ae7199b83987332a4825b6a431779185778,smd_2F06,Danielle W. Pierce,1,2014
22b628c38fe6d8600dec90df34889d787d6edd0a4b8a069f039a97a9,smd_7B04,Phillip J. Hammond,4,2012
22fdb2de7fe2a9e5351f3f5c84ffb37c8929d4391a19aebf0772f3f2,smd_7B02,Tiffany L. Brown,3,2014
232e52773390e494ca3bbfa24d2562986f9eb3d4a07f55d1163e9814,smd_8C05,Brenda E. Shields,2,2014
23b5f9ec0049236ba3250242c8c9d1cd8aa5e60e654dbd5ec5e1fe6e,smd_6B05,Carl B. Reeverts,1,2014
23e7b92bde6a7d6176e0c94dd754811de25cb044132084c78a89975a,smd_1C01,Amir Irani,1,2018
2406a37418729c31da3edb04a337015a596b0563abc1b8be78db9836,smd_6D03,Ron McBee,1,2012
24576a228a7557fb2920cef5042ff8ec1a38f8f4b45b47c7394ef6a3,smd_8D04,M. Jay Lee,1,2012
2464f4f28b5e35ba083701378921d094004ccbded13d30bef4dec5be,smd_7D04,Claude B. Mckay,1,2014
247e1e096d0862812ce78f74247f7c4edd906f56bfbc188d754cceed,smd_3F02,Dave Donaldson,1,2018
248e8d5f40f51d3ebd1c1369a92c74b7f3c62e2d118eaa56b943d992,smd_5E10,Michael J. Henderson,1,2016
2492f6bce4fbff4b1788391ba2c1c380295e790b8b51c82eeead3d97,smd_7E01,Diona Lane,1,2016
24d49d64604b4e582f344cd49146557e50f9ef7a32c46bc325720f3e,smd_5C03,Robert Looper III,3,2014
24e388802aa8cb39d9c79021fb13f692b7313848daf2ee0a7e239e38,smd_2B02,Jonathan Padget,1,2014
2525f42e7d0d7178f650040169cc77bcff45db25ab430d79c60be99c,smd_7E06,Maxine Nightingale,1,2014
2534915ec44e7d9ce2aa3301416454d841a4a47d70701cd64e2e181e,smd_3G07,Jonathan T. Chu,1,2012
2544e6913417cdc0533a1e744eca91794ad2f9ed4f2aabebc56035fa,smd_6B09,Kasie Clark,1,2018
2564e58e5e01a75dd1f673e0a16c66a35723928fa170eae216955714,smd_2A03,Trupti J. Patel,1,2018
257f6ae0d9278cbd6a2ca159e86f237c064a78216bdd9bea9519b93d,smd_3B03,Charles Cinque Fulwood,1,2012
25efcf98f5de5ef75d20c295d621602350880008e8a18db9941bb952,smd_8A06,Kendall J. Graham,1,2012
25f62d3987588821a03f505dd45575303c936b2f35d251f7a498b642,smd_6B09,Daniel Ridge,1,2016
26091b2876aeac1aa1b691560da9a10506f6a1dbb087e83cc701b7cc,smd_2F01,Peter Lallas,1,2012
260f9eb35f40a5c3073836b897e0a34a3d60ac3d97c461c20904efef,smd_8C05,W. Cardell Shelton,1,2014
26261075b6c419bf3bab93756ab5847043c3ea1b084325de15514ccd,smd_5B01,Gayle Carley,4,2012
265f86cc431d711a006cf863e7ac05ca36c932b7965f2cf927879e14,smd_3D03,Nan S. Wells,2,2012
268b23984554789521a30d1408f23638344f9b292d6b813fdcd8fac5,smd_4B08,Alison Brooks,1,2018
269a1fd192c0be3593d771c7f02a842eb27084c078b2e2723e4fea17,smd_5E02,Linda D. Lee,1,2012
26c3efefcf5f332fba64d98f3d50534e8610bdf65ceaf55822c6e110,smd_3G02,Chanda Tuck-Garfield,3,2014
2766580130a3e500b71e0150b8fa79d97fa8da8332bef8c62db5c26f,smd_6B06,Jared Critchfield,1,2012
27b08ae98337a0c62a9c77a187fdbe6e30108fbb1bccc3127e9c4c00,smd_3G01,Brian Oliver,1,2014
27c9a8a2d1ee78fd8b28b8aeeaffee8c9871c4e8dcc2b0b471919798,smd_5E02,Patricia L. Williams,2,2016
27ea494bbaf743ebcf46c1e963cf2e8b23d1edf9be1b0b3af6ea2cde,smd_4B04,James J. Sydnor,1,2012
282a15692b7252937d3d47d19947c66df98a300dc7d0e2be17c6b167,smd_2B04,Nick Delle Donne,1,2018
2872a5a41f2cbb6cad812e842e967e0768ddf116232a94484ce8dbdb,smd_7D01,Meredith Holmgren,1,2018
28990bdbb22909f201a686b7ef35396724a7fdf2ff413c046ce4bab2,smd_8E01,"Adeoye ""Oye"" Owolewa",1,2018
28b67ac166c17dc9fb49b66d605fba8f3116e0a8cefa7d7cd72a75c6,smd_5E03,Nes Robinson,1,2014
28bac1c81c6156d833c3763067b0a9ca14d2344059eed41b82461e50,smd_5E10,Nancy Darlene Jones,3,2014
293892c7a2bdc171ef5c14fba4b4a5188ed147a603b5d3b2469b5198,smd_4D03,Aaron Polkey,2,2016
29577a73ebbde5e5bc666a429147d23c3462738ede46b9ecd8874954,smd_1B12,Dan Winston,1,2018
295debff0a12b9089b162fe6343ad0fa04b1b7b59b1b823b8930d947,smd_8C05,Inez Johnson,1,2016
29a511d8df821c52b9c9040d9d3a7eba78634ed8b4f6a232b8e3f202,smd_2B01,Matthew H Sampson,1,2018
29b2f42a8aaac9af86b1114d8d26d7d7b934c12422aafb325c306413,smd_4B09,Douglass Sloan,1,2014
29ceabf10b1c77c680a0b28b11d11c93e3e93c08b2b08add31785f75,smd_7B05,Robin Hammond Marlin,4,2012
29e433d6a692ecb9b6f4776872b39c7ed7ae226398f2b07c4f49fe99,smd_1A01,Lester Cuffie,1,2014
2a08a897a1e3981202f40d23a030d239f3696994b4b3e92b659a437b,smd_5A03,Adrian T. Jordan,2,2012
2a8c358f2a09b3457037ddd0f6f05610a9505be787e3f15d3a36f376,smd_4A05,Kolleen Bouchane,1,2016
2ac7ca50a5a47a792ed0ebbc789bc956c58276790832f0cb6b087cd6,smd_5A02,Grace J. Lewis,3,2014
2ae32e4fbfe23f5c09574c73692aa169db28a916de810911ad9a445f,smd_7E07,Wendell Felder,1,2012
2b6c86dd7489531c0ba5b7b977b7da90b4d0802c8c150f9313bab707,smd_7E05,Lesil Farrakhan,1,2014
2b7e02d5528035b2a044cfd094b23c64cebea11cd43a9eeb285d68d3,smd_3B01,Ann Lane Mladinov,3,2014
2c364145541e30b85ef28b03e819dcb862303e93bf6d80248083b325,smd_6A07,Sondra Phillips-Gilbert,4,2012
2d361b1d4f2fdddd1fe20c17f3ed30ae0aa360a4b6e6fa6a7cfbeac8,smd_6A05,Patrick Malone,2,2014
2d9544ed5deb642761aa3e7e0e04d780a367df1a3d71afc6a3c54cba,smd_2B04,Kishan Putta,1,2012
2d9c1c82355de36d3cf65b6e7a5ab6aa5276bad2ebe1c15d4403b8ab,smd_1D05,Stuart Karaffa,2,2016
2dfbd962a9706e7785b6b0523c7f731d9b018528da7609a7470af3d8,smd_8C05,Mustafa Abdul-Salaam,1,2018
2dfc6d733bb4cf95c4ceb2da45fa3243525bc0441f1182c5b178f6fc,smd_4C10,Jonah Goodman,2,2016
2e22c7d966df6842635ad5d871a4b08c6c2c7cc42685fcd856592b48,smd_1B12,Zahra Jilani,1,2012
2e24625be7c37a6207b99ddf1a0494bd6dc6ad8fe8d6db30c17b1353,smd_2E03,Jeffrey L. Jones,2,2012
2e3a1bfd86473862d51e934abb1763d24de3661a21ec17aaf67a1f66,smd_1D01,Yasmin Romero-Castillo,1,2012
2e6645cb088ad2fde199ac3aabd109f769e99e3fd233e0de03b0cc61,smd_1A07,Darwain Frost,2,2014
2e70edfbc697ff521694eb7707ee081f0fdec527567afd67da9f1b0a,smd_5B03,Michael Ian Morrison,1,2014
2e7727392c06df90ebfeaab41c87031e1abcee4a0b7d038d03d5c6ce,smd_8A05,Latasha Nicole Gunnels,1,2016
2ee0d53ca2fb47bcdae83340aa87fbfd75797b052e018c9dc230c190,smd_1A09,Michael Wray,1,2018
2f10b13aa9362dfbc32425f4dac2d4f7073ff33cbd2c5f5748b27ae4,smd_4C02,Maria Barry,2,2016
2f155dade63cd8a4e74c50775d4e09239a59ffb95f872eb11428c9a8,smd_1D03,Benjamin Mann,1,2016
2f1acef843343652c6132de06193b248692935b9bffede21c4ad1306,smd_4C09,Jarahn D. Hillsman,1,2012
2f4ebf7023d2f109c15d9428e22dcbec395e40dea8991c30e25fa627,smd_8C04,Derrick Colbert,1,2014
300284654af9c8313c3e6e05902fcb7a36a40c7d02757f350c229a7e,smd_4C02,Janet M. Myers,1,2012
30523b06505c0889177917797eef706b7a5ff6288cee7875a758fe95,smd_7E06,Dontrell A. Smith,1,2016
3087054fa5dfdb4b2a6835e2c8bdf6506883015f661e97240b9fe426,smd_7B04,Nicole Smith-Mcdermott,1,2018
