smd,full_name,first_name,middle_name,last_name,suffix,is_chair
5A08,Gordon-Andrew Fletcher,Gordon-Andrew,,Fletcher,,
5B01,Gayle Carley,Gayle,,Carley,,
5B02,Ursula Higgins,Ursula,,Higgins,,TRUE
5B03,Henri Makembe,Henri,,Makembe,,
5B04,Ra Amin,Ra,,Amin,,
5B05,Landon Jones,Landon,,Jones,,
5C01,Gail Brevard,Gail,,Brevard,,
5C02,Lauren Rogers,Lauren,,Rogers,,
5C03,Pierre Hines,Pierre,,Hines,,
5C04,Jacqueline Manning,Jacqueline,,Manning,,TRUE
5C05,Darlene Oliver,Darlene,,Oliver,,
5C06,Kirsten Williams,Kirsten,,Williams,,
5C07,Jeremiah Montague Jr.,Jeremiah,,Montague,Jr.,
5D01,Ryan Linehan,Ryan,,Linehan,,
5D02,Keisha L. Shropshire,Keisha,L.,Shropshire,,
5D03,Steven C. Motley Sr,Steven,C.,Motley,Sr.,
5D04,Bernice S Blacknell,Bernice,S.,Blacknell,,
5D05,Sydelle Moore,Sydelle,,Moore,,
5D07,Clarence Lee,Clarence,,Lee,,TRUE
5.00E+01,Nick Cheolas,Nick,,Cheolas,,
5.00E+02,Patricia Williams,Patricia,,Williams,,
5.00E+03,Cortney Segmen,Cortney,,Segmen,,
5.00E+04,Sylvia M. Pinkney,Sylvia,M.,Pinkney,,
5.00E+05,Bradley Ashton Thomas,Bradley,Ashton,Thomas,,TRUE
5.00E+06,Karla M. Lewis,Karla,M.,Lewis,,
5.00E+07,Bertha G. Holliday,Bertha,G.,Holliday,,
5.00E+08,Robert Vinson Brannum,Robert,Vinson,Brannum,,
5.00E+09,Dianne Barnes,Dianne,,Barnes,,
5.00E+10,Nancy Darlene Jones,Nancy,Darlene,Jones,,
6A01,Marie-Claire Brown,Marie-Claire,,Brown,,
6A02,Phil Toomajian,Phil,,Toomajian,,
6A03,Mike Soderman,Mike,,Soderman,,
6A04,Amber Gove,Amber,,Gove,,TRUE
6A05,Ruth Ann Hudson,Ruth,Ann,Hudson,,
6A06,Stephanie Zimny,Stephanie,,Zimny,,
6A07,Sondra Phillips-Gilbert,Sondra,,Phillips-Gilbert,,
6A08,Brian Alcorn,Brian,,Alcorn,,
6B01,Jennifer E. Samolyk,Jennifer,E.,Samolyk,,
6B02,Gerald Sroufe,Gerald,,Sroufe,,
6B03,Brian Ready,Brian,,Ready,,TRUE
6B04,Kirsten Oldenburg,Kirsten,,Oldenburg,,
6B05,Steve Holtzman,Steve,,Holtzman,,
6B06,Corey Holman,Corey,,Holman,,
6B07,Kelly Waud,Kelly,,Waud,,
6B08,Chander Jayaraman,Chander,,Jayaraman,,
6B10,Kathryn Denise Rucker Krepp,Kathryn,Denise,Rucker Krepp,,
6C01,Christine Healey,Christine,,Healey,,
6C02,Karen Wirt,Karen,,Wirt,,TRUE
6C03,Jay Adelstein,Jay,,Adelstein,,
6C04,Mark Eckenwiler,Mark,,Eckenwiler,,
6C05,Joel Kelty,Joel,,Kelty,,
6C06,Drew Courtney,Drew,,Courtney,,
6D01,Gail Fast,Gail,,Fast,,TRUE
6D02,Anna Forgie,Anna,,Forgie,,
6D03,Ronald R. Collins,Ronald,R.,Collins,,
6D04,Andy Litsky,Andy,,Litsky,,
6D05,Fredrica Kramer,Fredrica,,Kramer,,
6D06,Rhonda N. Hamilton,Rhonda,N.,Hamilton,,
6D07,Edward Daniels,Edward,,Daniels,,
6.00E+01,"Alexander M. ""Alex"" Padro","Alexander ""Alex""",M.,Padro,,
6.00E+02,Michael J. Brown,Michael,J.,Brown,,
6.00E+03,Frank S. Wiggins,Frank,S.,Wiggins,,
6.00E+04,Rachelle Nigro,Rachelle,,Nigro,,TRUE
6.00E+05,Alex Marriott,Alex,,Marriott,,
6.00E+06,Alvin Judd Sr.,Alvin,,Judd,Sr.,
6.00E+07,Kevin M. Rogers,Kevin,M.,Rogers,,
7B01,Patricia Howard-Chittams,Patricia,,Howard-Chittams,,
7B02,Tiffany L. Brown,Tiffany,L.,Brown,,
7B03,Benjamin Crane,Benjamin,,Crane,,
7B04,Nicole Smith-McDermott,Nicole,,Smith-McDermott,,
7B05,"Villareal ""VJ"" Johnson II","Villareal ""VJ""",,Johnson,II,
7B06,April Pradier,April,,Pradier,,
7B07,D. L. Humphrey,D. L.,,Humphrey,,TRUE
7C01,Patricia A. Malloy,Patricia,A.,Malloy,,
7C03,Catherine A. Woods,Catherine,A.,Woods,,
7C04,Anthony Lorenzo Green,Anthony,Lorenzo,Green,,
7C05,Mary L. Gaffney,Mary,L.,Gaffney,,
7C06,Arnold Smith,Arnold,,Smith,,
7C07,Antawan Holmes,Antawan,,Holmes,,TRUE
7D01,Tamara Blair,Tamara,,Blair,,
7D02,Siraaj M. Hasan,Siraaj,M.,Hasan,,TRUE
7D03,Dorothy Douglas,Dorothy,,Douglas,,
7D04,Cinque E. Culver,Cinque,E.,Culver,,
7D05,Aretha Jackson,Aretha,,Jackson,,
7D07,Artilie Wright,Artilie,,Wright,,
