smd,longitude,latitude
2E04,-77.07568790576477,38.90816976841678
2E05,-77.06605637206972,38.90159149382889
2E06,-77.05753943048943,38.9078515083527
2E07,-77.06032881246432,38.913925073198754
2E08,-77.07248163165762,38.90795729083198
2F01,-77.0311892845502,38.91268452935534
2F02,-77.03247882860096,38.90991571421564
2F03,-77.03239602063975,38.90755038686294
2F04,-77.02818745115592,38.90939753414466
2F05,-77.03233801249218,38.904351412849564
2F06,-77.02441648380619,38.905775596394896
2F07,-77.02780574922414,38.90645100561851
2F08,-77.02915642820896,38.90317594321747
3B01,-77.07775398735782,38.92552272074204
3B02,-77.0721867853709,38.920870599318256
3B03,-77.08082903080079,38.922010267690254
3B04,-77.07946322766729,38.929228065734655
3B05,-77.07671208072246,38.91940865086676
3C01,-77.05057411592091,38.92870403467059
3C02,-77.05644518845124,38.9250824848433
3C03,-77.05672299081107,38.92916546640503
3C04,-77.05350327745782,38.935765367840155
3C05,-77.06471914289406,38.93701970902761
3C06,-77.07696091046782,38.937478574234284
3C07,-77.07518084135594,38.93111139440928
3C08,-77.06395862780441,38.92448067362135
3C09,-77.06570568562464,38.93342319726545
3D01,-77.0885665317243,38.92733558060365
3D02,-77.09474308568541,38.9375401713718
3D03,-77.10286132135487,38.940124165892726
3D04,-77.11037919899563,38.93136206547554
3D05,-77.10074576007983,38.92190885564312
3D06,-77.09031113913387,38.91714220291626
3D07,-77.08937498282795,38.937013179790156
3D08,-77.08316690896254,38.93160532710609
3D09,-77.08730988140381,38.90946807566216
3D10,-77.08224362258042,38.9386134510992
3E01,-77.08360204315241,38.94814914438686
3E02,-77.09412803509282,38.94987601974876
3E03,-77.08563544863236,38.95436276069533
3E04,-77.07875822482016,38.956462871278816
3E05,-77.08441535451459,38.94381719418739
3F01,-77.06917005507796,38.94228592788601
3F02,-77.05953206317044,38.94379813424637
3F03,-77.05394008627255,38.953099418756686
3F04,-77.0652907983732,38.94958802454833
3F05,-77.06791310891397,38.954953741454815
3F06,-77.0706629834217,38.94910440923247
3F07,-77.05556713659223,38.9415612680176
3G01,-77.05370613015913,38.979682716068176
3G02,-77.05145657195133,38.97012533933884
3G03,-77.06165819512663,38.96149707933296
3G04,-77.0661284028951,38.968998010797876
3G05,-77.07188658270742,38.96580668385285
3G06,-77.07666980756046,38.96320739900074
3G07,-77.07336163288545,38.95848797791757
4A01,-77.0408991965393,38.985386466326965
4A02,-77.03186736852999,38.98376422095738
4A03,-77.0312466585136,38.9741685135274
4A04,-77.0309132463392,38.96765230764703
4A05,-77.03334680721353,38.964992867872866
4A06,-77.03075317328884,38.961707879497034
4A07,-77.03951097802144,38.96447099167671
4A08,-77.04243296506617,38.94530487745781
4B01,-77.02239795984963,38.978091180380325
4B02,-77.02239668950085,38.972502482281044
4B03,-77.02167375224504,38.967545505250214
4B04,-77.02315989681632,38.96287042343745
4B05,-77.02312968003874,38.95904335199797
4B06,-77.01353993834825,38.96228322510374
4B07,-77.01033083355938,38.96848886069391
4B08,-77.00585694296846,38.95926416714279
4B09,-76.99853168263417,38.95895892607485
4C01,-77.03011602401067,38.95650048185344
4C02,-77.03236985428552,38.95085203629734
4C03,-77.03233215070921,38.94533773940142
4C04,-77.0345683481106,38.93962351072113
4C05,-77.03021834056636,38.94149922576004
4C06,-77.02719192100706,38.93796744111283
4C07,-77.02342099276865,38.94347164688698
4C08,-77.02170669405206,38.93927567137458
4C09,-77.0180155915639,38.94606548818703
4C10,-77.01618775660212,38.94146744446236
4D01,-77.0241176347245,38.95623604471757
4D02,-77.01526795670303,38.95481927117072
4D03,-77.01902420603908,38.952548171522444
4D04,-77.02466412554583,38.95238586094844
4D05,-77.01235321017252,38.9490107339428
4D06,-77.02338831802466,38.94840773187583
5A01,-76.99383080695064,38.95505012339006
5A02,-76.98801391833422,38.949484376682285
5A03,-76.99292504747953,38.94479761904408
5A04,-77.00062541171071,38.937486873447746
5A05,-77.01149271921898,38.935386676280785
5A06,-77.00541752468816,38.941760725220504
5A07,-77.00528682449362,38.950605576182916
5A08,-76.9989259867806,38.95087293737167
5B01,-76.97707367449237,38.94223398662357
5B02,-76.98387602744528,38.93645778012912
5B03,-76.9834059688756,38.929465311953685
5B04,-76.9914791110261,38.92732958945074
5B05,-76.99185800581326,38.93863690727752
5C01,-76.96921972540505,38.93451312235779
5C02,-76.96923540456314,38.925318218589226
5C03,-76.95350046063544,38.923020712521826
5C04,-76.9663011183271,38.91386929874582
5C05,-76.99074933787263,38.917594799964085
5C06,-76.98204968870819,38.92286280376661
5C07,-76.97437185316674,38.92797105964482
5D01,-76.99144868992109,38.91041977638522
5D02,-76.98368942231018,38.907659737230176
5D03,-76.97835696657592,38.904225025749334
5D04,-76.9672726964406,38.90180226763326
5D05,-76.97749720878535,38.9012380274367
5D06,-76.98721615733106,38.903233596876
5D07,-76.98500643198359,38.90531455787184
5E01,-76.99893462036745,38.928735463940534
5E02,-76.99780229245498,38.92303695110996
5E03,-77.00160297853328,38.915307705968466
5E04,-77.00672263291357,38.91289021058789
5E05,-77.01275540670933,38.90911119201679
5E06,-77.01343084884965,38.91261138590861
5E07,-77.01167267621948,38.915203203263154
5E08,-77.01186606398325,38.91864048609769
5E09,-77.0100595445033,38.92536965410545
5E10,-77.0027104826103,38.92172540630139
6A01,-76.9924904492019,38.901453622164425
6A02,-76.99139728180837,38.89784530589052
6A03,-76.99293179128715,38.892473546590786
6A04,-76.9872537565463,38.891507799064705
6A05,-76.98814707839576,38.89485244435498
6A06,-76.98555947284932,38.89832729148338
6A07,-76.98007351765683,38.89752646600557
6A08,-76.9793246940269,38.892365088316275
6B01,-77.00501825296271,38.88563838462584
6B02,-76.99757579055611,38.88682093839018
6B03,-76.99831313067529,38.88180688351073
6B04,-76.9927862503425,38.880723094321816
6B05,-76.99225222634607,38.887377081068884
6B06,-76.98641008514558,38.87878161630699
6B07,-76.98815140322972,38.87912671945638
6B08,-76.98605955277962,38.88744906539306
6B09,-76.97872055015623,38.881208153508425
6B10,-76.98011064029599,38.887751112621615
6C01,-77.00202304762136,38.8909194059827
6C02,-77.00795944072092,38.89478340944218
6C03,-76.99760586893339,38.894487692579936
6C04,-77.00392487546245,38.89839398262129
6C05,-76.99805531435675,38.900189551190394
6C06,-77.00339977025394,38.90439271351106
6D01,-77.02354407225607,38.88334051808465
6D02,-77.01050532590271,38.880255183434286
6D03,-77.01595009344499,38.882209637863
6D04,-77.0293592461518,38.8760210795469
6D05,-77.02435218747834,38.864758719007426
6D06,-77.0115701027325,38.873256344974955
6D07,-76.99990992231504,38.87486184656664
6E01,-77.02417975361983,38.911643811373914
6E02,-77.01930971897514,38.91150712432683
6E03,-77.02109971879217,38.907250756972346
6E04,-77.01785638911784,38.90591982776088
6E05,-77.01834954934954,38.90253091384983
6E06,-77.01052690718166,38.905320554981955
6E07,-77.01257217640469,38.901861645152735
7B01,-76.96446978774888,38.88170628383664
7B02,-76.96665104952886,38.86518962987186
7B03,-76.97047966425197,38.87403724313869
7B04,-76.96010860791625,38.86901916997947
7B05,-76.96224153287842,38.857206634623
7B06,-76.95373140166129,38.86149987715828
7B07,-76.95247832747695,38.8721679690779
7C01,-76.93103003558629,38.89880087385288
7C02,-76.92477117656098,38.89226918291578
7C03,-76.93178701583106,38.89378477853914
7C04,-76.9306759262167,38.9019839780729
7C05,-76.91597673618169,38.89314394442767
7C06,-76.92137936480368,38.898713050076466
7C07,-76.93160457526949,38.90573002460266
7D01,-76.97011096015565,38.8934743016198
7D02,-76.94314258286757,38.90543110178407
7D03,-76.94434716725452,38.910550736867414
7D04,-76.95862863765561,38.89348968880006
7D05,-76.9377998873716,38.89321392981092
7D06,-76.94138138192135,38.89813034151845
7D07,-76.95425459072321,38.90132301893166
7E01,-76.9369039713098,38.877801500592625
7E02,-76.94260754805481,38.87314960972367
7E03,-76.93072143024311,38.880136908472636
7E04,-76.93402149652587,38.88586408182302
7E05,-76.92980311068608,38.885934511463844
7E06,-76.92420757342926,38.88489696827322
7E07,-76.92111450649908,38.88828662710515
7F01,-76.94724633585108,38.89382618105661
7F02,-76.94379650410207,38.88552776375458
7F03,-76.93757454656166,38.883788235988554
7F04,-76.95309429681153,38.88137716985803
7F05,-76.94943706356375,38.88565647960142
7F06,-76.95720627473573,38.88922137807322
7F07,-76.9712050889945,38.88571064788529
8A01,-76.97750872303891,38.8727964085334
8A02,-76.98199457944399,38.869707209440485
8A03,-76.97316654847853,38.867268584831926
8A04,-76.98190524963037,38.86057881759811
8A05,-76.98312102413709,38.86460875070274
8A06,-76.99367460479522,38.86645718366314
8A07,-76.98927575299881,38.8586486731671
8B01,-76.97475313849627,38.86022008490057
8B02,-76.97003291331625,38.85749764712655
8B03,-76.97295746379213,38.853597035036316
8B04,-76.98559034097437,38.85483125790784
8B05,-76.96682934732654,38.852660045183576
8B06,-76.97089612758253,38.84702044033797
8B07,-76.97690773803915,38.84444320299532
8C01,-77.01227391754922,38.85364994534224
8C02,-77.00000028242073,38.85276213340483
8C03,-76.99358064595228,38.846750673230154
8C04,-77.00289464072736,38.83590760746292
8C05,-77.01793232023496,38.842352594811246
8C06,-76.99572053564295,38.85904379191043
8C07,-76.99739613272439,38.83920587704422
8D01,-76.99605670402399,38.82720463519751
8D02,-77.00477028567451,38.82121093137764
8D03,-77.00217995089176,38.82803447758517
8D04,-77.02673293865132,38.81439775354281
8D05,-77.00839082370749,38.823535628406496
8D06,-77.00878180137593,38.82714320234661
8D07,-77.02529153540065,38.83422843894535
8E01,-76.984483237746,38.84908718818454
8E02,-76.97830118639921,38.85126219295274
8E03,-76.97482682442825,38.848316385139626
8E04,-76.98539331863984,38.84265676188911
8E05,-76.98511686104094,38.83776823895656
8E06,-76.99544433274141,38.83362355049598
8E07,-76.99309103042232,38.830815004053655
