smd_id,Name,oanc_name,is_vacant,is_chairperson,oanc_hash_id
smd_2022_5D07,Juan McCullum,Juan McCullum,False,False,8b1d51f385cf38e8a97f6d66930096d293056af503044163e3b47123
smd_2022_5D08,Juanita Holsendorff,Juanita Holsendorff,False,False,3394bc46c5e2dabaa872be931383ff96d7e3f9c567a1acd622e3ccf9
smd_2022_5D09,Crystal Green-Campbell,Crystal Green-Campbell,False,False,a0aaad3aa5d1e4984df452d7369bf9311bf201369f3ea4c0e8fa8ba2
smd_2022_5E01,Kyle GardinerSecretary,Kyle Gardiner,False,False,b5d282a0687eef9f28e2dce9a536cdeb652a4b2e7d0980f7305ad01e
smd_2022_5E02,Karla M. LewisVice Chairperson,Karla M. Lewis,False,True,1f530df9f04ca5232f0fb8a2482c831ca1bd3622dec130f1e39258bf
smd_2022_5E03,Andrew Waks,Andrew Waks,False,False,d37002c33ed4a24cc5e4f8e786eae809e9b3f7fae69b8ccbff0529dc
smd_2022_5E04,Huma ImtiazChairperson,Huma Imtiaz,False,True,d2b1d7521017119538b15897ef746903b5dc57dd4249256e868a53c5
smd_2022_5E05,Alice Thompson,Alice Thompson,False,False,d7d53ea2fdfc3fbedfea2961193430ff0ae10222d7e93f015a62ea79
smd_2022_5E06,Kirby ViningTreasurer,Kirby Vining,False,False,7baaf176a11a2db80212f5c36359524b35a743975e04239dc4644698
smd_2022_5F01,Nicole Jones,Nicole Jones,False,False,1c787e4870c88ebaeffc19b1c95bbebd78cff62298b09a74408dff4d
smd_2022_5F02,Aru SahniSecretary,Aru Sahni,False,False,376efa91015cdb20cb691a695721790ee128e354fddd81e0c3089487
smd_2022_5F03,Patricia Williams,Patricia Williams,False,False,eb6c3cc2ef58d406a5e5cc2d357e6c49d7eba048ddbb283f6fcf91d5
smd_2022_5F04,Mark GalvanVice Chairperson,Mark Galvan,False,True,66a26024a80ee3d95548756da1769b1f17f2efdfb9abafedc79324e8
smd_2022_5F05,Jennifer Anderson,Jennifer Anderson,False,False,ea2a3db3858878026864f232900275826d06ce235efae5351b1fe504
smd_2022_5F06,Joe Bishop-HenchmanChairperson,Joe Bishop-Henchman,False,True,e99748755806c5150fc75f768aeeb21c4d074e609b08b49fb4017886
smd_2022_5F07,Julia HedlundTreasurer,Julia Hedlund,False,False,de4a71f1753d8d9807653bff8210bbb1f5aed439223a196411aa5182
smd_2022_8F01,Nic Wilson,Nic Wilson,False,False,84d0d5933839011149743383c302874bdc73dee7a3a1dca7129d3a85
smd_2022_8F02,Markita BryantVice Chairperson,Markita Bryant,False,True,cbbeae41f042d03b3e76f5b4298dc02bd1ce19f7d2f57c0f91ca5d50
smd_2022_8F03,Brian StregeChairperson,Brian Strege,False,True,81294c0bbf2a784fca4268c0bdee5878fe6805ca89cae0fbb419b171
smd_2022_8F04,Edward DanielsSecretary,Edward Daniels,False,False,f34dde25ee1d8ae715513816189b09196f90fe6aec93b1b8e2c181ef
smd_2022_8F05,Dayan ReynoldsTreasurer,Dayan Reynolds,False,False,4fc595855f4f9ca0b27c1516e4f72b00163e07a97a3bca2e7563e040
smd_2022_6A01,Vacant,Vacant,True,False,773d5a09fc50a90442c8b4dd9a10cd585e3da3eb86e902cc386f5649
smd_2022_6A02,Vacant,Vacant,True,False,0ef0061df640481814bf3dc976913ee0d8bd2fdad389e1811a295981
smd_2022_6A03,Roberta ShapiroTreasurer,Roberta Shapiro,False,False,253c844ba5a58089a9e9b77d6133554094575569f58bb25d36d15616
smd_2022_6A04,Amber GoveChairperson,Amber Gove,False,True,728a6e4d83f2b595c3f9c0d1bc3c0fe9030eb627cee0a064f5ec2299
smd_2022_6A05,Vacant,Vacant,True,False,28d03488000ceeb78418db02ed53ffb4d587108a3285bf37984ddb43
smd_2022_6A06,Vacant,Vacant,True,False,9c06a7e0ab9093e6d37437b893270bc9428d19686dbb99d06322df3c
smd_2022_6A07,Stephen Kolb,Stephen Kolb,False,False,750d731417adc5b81ab80fd07ddf39de246d67b01add1eb261950f40
smd_2022_6B01,Tyler WolaninParliamentarian,Tyler Wolanin,False,False,92afbf0b35dce33c7bd4b36b57f40a4be92eb99f30cd191140b46c73
smd_2022_6B02,"Gerald ""Jerry"" Sroufe","Gerald ""Jerry"" Sroufe",False,False,66f711b03290fcd3fa835db3955222e42dfd88d0eec4d78bfa7e1c42
smd_2022_6B03,David SobelsohnSecretary,David Sobelsohn,False,False,0f5dd4aaa06647ffed103f70ed19bd9d06561a05930536041a1f7686
smd_2022_6B04,Brian Gorman,Brian Gorman,False,False,b9b0ada1e2daeff7f9166e6de7f285bed81ea8e6fd4474008eb81642
smd_2022_6B05,Samuel PastoreChairperson,Samuel Pastore,False,True,35900fc6be2b8f1cc7ceae79c47b6a118a9fa5710585779e89edec74
smd_2022_6B06,Anna KrebsTreasurer,Anna Krebs,False,False,03597cd45d3d39ef688ad0ef9faacbff458a86bec3b47d43a46406d7
smd_2022_6B07,Vince Mareino,Vince Mareino,False,False,090a8f3f99ea5f8f8a7704f5474a624b877fc48714c6c0449fbb7f6b
smd_2022_6B08,Edward RyderVice Charperson,Edward Ryder,False,False,35834cb9e0adb24e9c03b45c75c401702ae762330b272fae04bcf747
smd_2022_6B09,Karen Hughes,Karen Hughes,False,False,67cb96084189761c51cfea6637954b168067a2ff40339dcf775c7437
smd_2022_6C01,Jeremiah Foxwell,Jeremiah Foxwell,False,False,2ea36206bfbee39c8479c8bf43a480bba77f781beee64cfe969f3ec9
smd_2022_6C02,Karen WirtChairperson,Karen Wirt,False,True,df72d0218c0b56757faafa58b5e73c480e6cd9bf43139091624cce9e
smd_2022_6C03,Jay AdelsteinTreasurer,Jay Adelstein,False,False,61f8f10ef08755468a2ec9000e1e0846768f067d1cacb9edc5ececdd
smd_2022_6C04,Mark EckenwilerVice Chairperson,Mark Eckenwiler,False,True,489654b9a35559fc68ac1abd069aa48c0a1dc9be7e77c99460317543
smd_2022_6C05,Daniela Mclnerney,Daniela Mclnerney,False,False,3263ef77ee68736eaac7c3ce2418dcacd42d7d637367f5f8181e337f
smd_2022_6C06,Andrew R. HayesSecretary,Andrew R. Hayes,False,False,d63b910b1b80217c039695957061ad16c8243c736b2921c861ff5f5e
smd_2022_6C07,Tony T Goodman,Tony T Goodman,False,False,1e32fb1b42b7d71fb48ca134a6a6fcf95c767933615c4d39d26febc8
smd_2022_6D01,Marquell Washington,Marquell Washington,False,False,4c89dbe530b30c2bee9aa8b9659949255a2a51baca57f7ebd4b1bd55
smd_2022_6D02,Gottlieb SimonChairperson,Gottlieb Simon,False,True,824a9ff976ca5d4578585d40de0a186bd6ef1e66dcee2ca829f39afb
smd_2022_6D03,Gail Fast,Gail Fast,False,False,ac46566432467d9f70f2cdf94abfe41da8548af49fb2e36cc19c0c5c
smd_2022_6D04,Andrea Pawley,Andrea Pawley,False,False,3896466a5f1e104060f19ca4934e48a3c63008f79124db948701d55f
smd_2022_6D05,Chearie Phelps-EL,Chearie Phelps-EL,False,False,0307ed0f0844a0bb03094577f123d86926a3666205d927c04c3dd84b
smd_2022_6D06,Bruce LevineVice Chairperson,Bruce Levine,False,True,9b47ff9811a61aca1b023c9e05c17d19e7ea4abd3481f36fc198745b
smd_2022_6D07,"Fredrica ""Rikki"" KramerTreasurer","Fredrica ""Rikki"" Kramer",False,False,2bc903fdf4f2e5502f675c40b627ade78e862e451b4402efb1ac34d2
smd_2022_6D08,Rhonda Natalie HamiltonSecretary,Rhonda Natalie Hamilton,False,False,8889ab7f5840f329b852e476ea70863ffdeb65fcef7711a7b94ddec2
smd_2022_6E01,Sam Alhadeff,Sam Alhadeff,False,False,ab8074450ccb6cff0037ae59ebdb20b8a1db66bea58d16d7e7e30d9d
smd_2022_6E02,Crystal J. Watts,Crystal J. Watts,False,False,bf7d4ec0dc17f76beffb7a17a486d5821493506449f737d1e94dd4da
smd_2022_6E03,Kevin M. Rogers,Kevin M. Rogers,False,False,c4786d979ed115f42810b06be5791c83adc83c69d8ebc964d2d1ae4c
smd_2022_6E04,Vacant,Vacant,True,False,4475e388eeed4731cc50dddc9d9ed987ec0881de53e1fc6c2f30d768
smd_2022_6E05,Ahmad Abu-KhalafChairperson,Ahmad Abu-Khalaf,False,True,f28625a766e0a028879f3a3e05d1f667a1d6cdbe99439360a84d962e
smd_2022_6E06,Nate Coffman,Nate Coffman,False,False,43034713404dbc9769ae25e2fed0cb24d95833308b018d61c18a0b25
smd_2022_6E07,Davina CarsonTreasurer,Davina Carson,False,False,7e12c56ed8966122b93af2e08bc2e4218690318d75fb9787b2856aa3
smd_2022_6E08,Dale PrinceSecretary,Dale Prince,False,False,9ec9473625c0a907310526134cb6a39bafc1ca95da7a3fdb9abacf66
smd_2022_6E09,Ritanch HansVice Chairperson,Ritanch Hans,False,True,93ba9b7c63d8807def0c19be49db62ab4d91ea1a41900678199ae6df
