smd_id,Name,official_name,is_vacant,is_chairperson,oanc_hash_id
smd_8C07,Salim Adofo  Chairperson,Salim Adofo,False,True,0c6f1191432f7d3c24b63864c01b10b01525bc52a7d88c60a9713f74
smd_8D01,Patricia Carmon,Patricia Carmon,False,False,4904f3e62fe85ae35e782421b3ac045180fcedef95a11c8bf064dc9b
smd_8D02,Olivia L. Henderson,Olivia L. Henderson,False,False,a7090a4509fccecff5ae845762ccd4dd5a2da2334d134b86124d1206
smd_8D03,Absalom Jordan,Absalom Jordan,False,False,fcad04aaee60d2e7b35ed68475456491d2c8e91eadf0b785951b7b38
smd_8D04,Monique T. Diop,Monique T. Diop,False,False,71c245c5ec839312bc65def249ea21c0891bb60d591ca7a909ac9e63
smd_8D05,Ellen Armstead,Ellen Armstead,False,False,f04cdbb3ac142dddd95042fd8cd2757e7bc52cb559c6ce31bce3e7a8
smd_8D06,Devon Lesesne  Chairperson,Devon Lesesne,False,True,ae82e3e7fa1e248382ce81b8eeae3554694d3ea0cea3b40fc30cbe8e
smd_8D07,Patricia Janifer,Patricia Janifer,False,False,4e2d04e0fbc903df9c0d7551e59cb0c42e33f30cf3e622475b5c314a
smd_8E01,Shekita McBroom,Shekita McBroom,False,False,c1f9698520c73bc2383cbe0428462027c312acf3f729fc9663ed144f
smd_8E02,Cheryl Moore,Cheryl Moore,False,False,3ce618c44494e32a6a5a377e8f6acc639bc46cbffef0643d229fe678
smd_8E03,Queda Tate,Queda Tate,False,False,f16de559525c628b87ebe6f31c54f529c63d3fb72cc2d11224114e59
smd_8E04,Kendall Simmons,Kendall Simmons,False,False,d72fa9c3babeda818781f869356c8c8628c8739976be7b8314d95f32
smd_8E05,Shaquan Hudson,Shaquan Hudson,False,False,61350a21af2c97055691fd2e3d646c747f6fe5b12d2b2d9147aa2d1b
smd_8E06,Brittany Geneva Cummings  Chairperson,Brittany Geneva Cummings,False,True,16c5de52180949cdab6f665aae1d5e622ec8e24b68084fd078584e2a
smd_8E07,Jeannina Williams,Jeannina Williams,False,False,834bf19cddb6a788b97d961431291e0de8fb0acc16e6246c788b2ef8
